Beach,2011,2012,diff_btwn_yrs
Bennetts_pier,35282,21814,-13468
Big_stone,359350,83500,-275850
Broadkill,45705,13290,-32415
Cape_henelopen,49005,30150,-18855
Fortescue,68978,125190,56212
Fowler,8700,4620,-4080
Gandys,18780,88926,70146
Highbees,13622,1205,-12417
Highs,24936,29800,4864
Kimbles,17620,53640,36020
Kitts_hummock,117360,68400,-48960
Norburys_landing,102425,74552,-27873
North_bowers,59566,36790,-22776
North_cape_may,32610,4350,-28260
Pickering,137250,110550,-26700
Pierces_point,38003,43435,5432
Primehook,101300,20580,-80720
Reeds,62179,81503,19324
Slaughter,203070,53940,-149130
South_bowers,135309,87055,-48254
South_CSL,150656,112266,-38390
Ted_harvey,115090,90670,-24420
Townbank,44022,21942,-22080
Villas,56260,32140,-24120
Woodland,125,1260,1135