Milkweed_species,Trichomes,Latex,Toxin_amt,Caterpillar_mass
Ascelpias amplexicaulis,1.7,1.5,1.4,5.4
Asclepias boliviensis,1.5,0.4,2.1,7.7
Asclepias californica,44.3,3.5,4.9,3.4
Asclepias candida,0.1,0.6,4,9.1
Asclepias cordifolia,2.5,1.6,3.5,7
Asclepias eriocarpa,31.3,1.3,4.4,6.1
Asclepias erosa,12.2,3,2.3,7.5
Asclepias hallii,1.5,0.6,1.6,10.1
Asclepias hirtella,0.2,0.5,3.3,7.5
Asclepias humistrata,0.2,0.6,5.2,9
Asclepias incarnata,2.9,0.3,0.4,9.2
Asclepias lanceolata,0.2,0.2,0.4,8.6
Asclepias lemmonii,4.7,4.3,3.2,1.2
Asclepias nivea,3.1,0,4.4,12.9
Asclepias obovata,32.8,0.8,0.6,7.7
Asclepias pumila,0.4,0.4,0.5,7.4
Asclepias purpurascens,7.2,0.3,0.3,10.6
Asclepias solanoana,20.7,1.4,2.7,11.2
Asclepias speciosa,6.9,1.6,1.1,8.6
Asclepias sullivantii,1.7,1.7,2.4,8.2
Asclepias syriaca,9.5,0.4,1.5,9.8
Asclepias tuberosa,6.4,0.2,0.1,7.6
Asclepias verticillata,0.4,0.1,0.1,7.2
Asclepias viridis,3,0.7,3.5,9.6