treatment,rep,leaf area removed
control,1,116.003
control,2,144.295
control,3,128.974
control,4,123.005
control,5,121.147
control,6,153.659
control,7,132.18
control,8,162.492
control,9,77.021
control,10,148.217
control,1,1381.45
control,2,2356.088
control,3,1684.401
control,4,1100.835
control,5,779.896
control,6,2141.489
control,7,835.673
control,8,2080.245
control,9,1073.761
control,10,2156.425
control,1,1824.157
control,2,1431.991
control,4,1940.261
control,5,847.068
control,6,6251.679
control,7,370.169
control,8,8777.243
control,9,6801.439
control,10,8907.871
control,1,6353.427
control,2,5468.332
control,3,2916.664
control,4,3150.306
control,5,1250.132
control,7,3036.376
control,9,2955.614
control,1,3742.218
control,2,2132.047
control,3,0.076
control,4,3463.999
control,5,4706.402
control,7,4310.744
control,8,0.037
control,9,0.068
control,11,2322.717
control,12,4002.555
control,14,2812.372
control,15,1.024
control,16,2937.243
control,18,0.049
control,19,1623.606
predator,11,103.994
predator,12,74.683
predator,13,73.461
predator,14,182.01
predator,15,56.784
predator,16,101.151
predator,17,169.656
predator,18,106.34
predator,19,103.087
predator,20,152.873
predator,11,964.103
predator,12,1296.246
predator,13,1918.681
predator,14,1346.79
predator,15,1556.724
predator,16,1203.113
predator,17,1203.12
predator,18,1274.239
predator,19,738.984
predator,20,1732.768
predator,11,1009.44
predator,12,1924.342
predator,13,5172.16
predator,14,1348.749
predator,15,4129.689
predator,16,1172.682
predator,17,6530.999
predator,18,4976.124
predator,19,1998.593
predator,11,3609.646
predator,14,3525.628
predator,15,3836.892
predator,16,3889.342
predator,17,261.935
predator,18,3171.322
predator,19,5809.641